no,x,y
1,80.98,200.07
2,81.028,200.07
3,81.075,200.07
4,81.122,200.07
5,81.169,200.07
6,81.217,200.07
7,81.263,200.07
8,81.31,200.07
9,81.356,200.07
10,81.403,200.07
11,81.45,200.07
12,81.498,200.07
13,81.545,200.07
14,81.592,200.07
15,81.639,200.07
16,81.686,200.07
17,81.733,200.07
18,81.781,200.07
19,81.828,200.07
20,81.875,200.07
21,81.921,200.07
22,81.968,200.07
23,82.016,200.07
24,82.063,200.07
25,82.11,200.07
26,82.157,200.07
27,82.205,200.07
28,82.252,200.07
29,82.298,200.07
30,82.345,200.07
31,82.392,200.07
32,82.44,200.07
33,82.488,200.07
34,82.535,200.07
35,82.582,200.07
36,82.628,200.07
37,82.675,200.07
38,82.722,200.07
39,82.77,200.07
40,82.818,200.07
41,82.866,200.07
42,82.913,200.07
43,82.96,200.07
44,83.007,200.07
45,83.054,200.07
46,83.1,200.07
47,83.147,200.07
48,83.194,200.07
49,83.241,200.07
50,83.288,200.07
51,83.335,200.07
52,83.383,200.07
53,83.43,200.07
54,83.478,200.07
55,83.526,200.07
56,83.574,200.07
57,83.622,200.07
58,83.67,200.07
59,83.717,200.07
60,83.763,200.07
61,83.81,200.07
62,83.857,200.07
63,83.904,200.07
64,83.952,200.07
65,83.999,200.07
66,84.046,200.07
67,84.093,200.07
68,84.14,200.07
69,84.188,200.07
70,84.235,200.07
71,84.282,200.07
72,84.33,200.07
73,84.377,200.07
74,84.425,200.07
75,84.472,200.07
76,84.519,200.07
77,84.567,200.07
78,84.614,200.07
79,84.661,200.07
80,84.709,200.07
81,84.756,200.07
82,84.803,200.07
83,84.85,200.07
84,84.898,200.07
85,84.945,200.07
86,84.992,200.07
87,85.039,200.07
88,85.086,200.07
89,85.133,200.07
90,85.179,200.07
91,85.226,200.07
92,85.274,200.07
93,85.322,200.07
94,85.37,200.07
95,85.418,200.07
96,85.466,200.07
97,85.514,200.07
98,85.561,200.07
99,85.609,200.07
100,85.656,200.07
101,85.704,200.07
102,85.751,200.07
103,85.798,200.07
104,85.845,200.07
105,85.892,200.07
106,85.939,200.07
107,85.986,200.07
108,86.032,200.07
109,86.079,200.07
110,86.125,200.07
111,86.171,200.07
112,86.218,200.07
113,86.266,200.07
114,86.313,200.07
115,86.36,200.07
116,86.407,200.07
117,86.455,200.07
118,86.503,200.07
119,86.55,200.07
120,86.598,200.07
121,86.645,200.07
122,86.693,200.07
123,86.74,200.07
124,86.787,200.07
125,86.833,200.07
126,86.88,200.07
127,86.926,200.07
128,86.973,200.07
129,87.02,200.07
130,87.067,200.07
131,87.114,200.07
132,87.162,200.07
133,87.21,200.07
134,87.257,200.07
135,87.305,200.07
136,87.352,200.07
137,87.399,200.07
138,87.446,200.07
139,87.492,200.07
140,87.539,200.07
141,87.585,200.07
142,87.632,200.07
143,87.68,200.07
144,87.728,200.07
145,87.776,200.07
146,87.823,200.07
147,87.87,200.07
148,87.917,200.07
149,87.964,200.07
150,88.01,200.07
151,88.056,200.07
152,88.103,200.07
153,88.151,200.07
154,88.199,200.07
155,88.246,200.07
156,88.293,200.07
157,88.34,200.07
158,88.387,200.07
159,88.433,200.07
160,88.48,200.07
161,88.528,200.07
162,88.576,200.07
163,88.623,200.07
164,88.67,200.07
165,88.717,200.07
166,88.763,200.07
167,88.811,200.07
168,88.859,200.07
169,88.906,200.07
170,88.953,200.07
171,89,200.07
172,89.047,200.07
173,89.093,200.07
174,89.141,200.07
175,89.188,200.07
176,89.236,200.07
177,89.282,200.07
178,89.329,200.07
179,89.377,200.07
180,89.425,200.07
181,89.472,200.07
182,89.519,200.07
183,89.565,200.07
184,89.613,200.07
185,89.661,200.07
186,89.708,200.07
187,89.755,200.07
188,89.801,200.07
189,89.849,200.07
190,89.896,200.07
191,89.943,200.07
192,89.99,200.07
193,90.037,200.07
194,90.084,200.07
195,90.131,200.07
196,90.178,200.07
197,90.225,200.07
198,90.272,200.07
199,90.319,200.07
200,90.366,200.07
201,90.414,200.07
202,90.46,200.07
203,90.506,200.07
204,90.554,200.07
205,90.6,200.07
206,90.648,200.07
207,90.695,200.07
208,90.741,200.07
209,90.789,200.07
