no,x,y
1,28.038,447.071
2,28.038,447.032
3,28.038,446.993
4,28.038,446.952
5,28.038,446.912
6,28.038,446.872
7,28.038,446.833
8,28.038,446.793
9,28.038,446.753
10,28.038,446.713
11,28.038,446.674
12,28.038,446.634
13,28.038,446.594
14,28.038,446.555
15,28.038,446.514
16,28.038,446.474
17,28.038,446.435
18,28.038,446.395
19,28.038,446.356
20,28.038,446.316
21,28.038,446.277
22,28.038,446.238
23,28.038,446.198
24,28.038,446.157
25,28.038,446.118
26,28.038,446.078
27,28.038,446.038
28,28.038,445.997
29,28.038,445.958
30,28.038,445.919
31,28.038,445.879
32,28.038,445.839
33,28.038,445.798
34,28.038,445.758
35,28.038,445.719
36,28.038,445.679
37,28.038,445.64
38,28.038,445.6
39,28.038,445.56
40,28.038,445.52
41,28.038,445.48
42,28.038,445.439
43,28.038,445.398
44,28.038,445.358
45,28.038,445.32
46,28.038,445.28
47,28.038,445.241
48,28.038,445.202
49,28.038,445.163
50,28.038,445.123
51,28.038,445.083
52,28.038,445.044
53,28.038,445.004
54,28.038,444.964
55,28.038,444.924
56,28.038,444.884
57,28.038,444.843
58,28.038,444.803
59,28.038,444.763
60,28.038,444.723
61,28.038,444.682
62,28.038,444.642
63,28.038,444.601
64,28.038,444.561
65,28.038,444.521
66,28.038,444.48
67,28.038,444.44
68,28.038,444.399
69,28.038,444.359
70,28.038,444.318
71,28.038,444.278
72,28.038,444.237
73,28.038,444.197
74,28.038,444.156
75,28.038,444.116
76,28.038,444.075
77,28.038,444.035
78,28.038,443.995
79,28.038,443.954
80,28.038,443.914
81,28.038,443.874
82,28.038,443.834
83,28.038,443.794
84,28.038,443.754
85,28.038,443.714
86,28.038,443.674
87,28.038,443.634
88,28.038,443.594
89,28.038,443.555
90,28.038,443.515
91,28.038,443.475
92,28.038,443.436
93,28.038,443.397
94,28.038,443.357
95,28.038,443.318
96,28.038,443.279
97,28.038,443.24
98,28.038,443.201
99,28.038,443.163
100,28.038,443.123
101,28.038,443.082
102,28.038,443.041
103,28.038,443.001
104,28.038,442.961
105,28.038,442.92
106,28.038,442.88
107,28.038,442.84
108,28.038,442.801
109,28.038,442.761
110,28.038,442.721
111,28.038,442.682
112,28.038,442.643
113,28.038,442.604
114,28.038,442.565
115,28.038,442.526
116,28.038,442.485
117,28.038,442.444
118,28.038,442.404
119,28.038,442.364
120,28.038,442.324
121,28.038,442.284
122,28.038,442.244
123,28.038,442.205
124,28.038,442.165
125,28.038,442.126
126,28.038,442.087
127,28.038,442.048
128,28.038,442.008
129,28.038,441.968
130,28.038,441.927
131,28.038,441.887
132,28.038,441.848
133,28.038,441.808
134,28.038,441.769
135,28.038,441.73
136,28.038,441.691
137,28.038,441.65
138,28.038,441.61
139,28.038,441.57
140,28.038,441.53
141,28.038,441.49
142,28.038,441.451
143,28.038,441.412
144,28.038,441.373
145,28.038,441.333
146,28.038,441.292
147,28.038,441.252
148,28.038,441.213
149,28.038,441.173
150,28.038,441.134
151,28.038,441.094
152,28.038,441.053
153,28.038,441.013
154,28.038,440.974
155,28.038,440.934
156,28.038,440.895
157,28.038,440.856
158,28.038,440.816
159,28.038,440.776
160,28.038,440.736
161,28.038,440.697
162,28.038,440.657
163,28.038,440.616
164,28.038,440.577
165,28.038,440.537
166,28.038,440.498
167,28.038,440.459
168,28.038,440.419
169,28.038,440.379
170,28.038,440.34
171,28.038,440.299
172,28.038,440.259
173,28.038,440.219
174,28.038,440.18
175,28.038,440.141
176,28.038,440.101
177,28.038,440.062
178,28.038,440.021
179,28.038,439.981
180,28.038,439.941
181,28.038,439.902
182,28.038,439.863
183,28.038,439.823
184,28.038,439.782
185,28.038,439.742
186,28.038,439.702
187,28.038,439.663
188,28.038,439.624
189,28.038,439.585
190,28.038,439.544
191,28.038,439.505
192,28.038,439.465
193,28.038,439.426
194,28.038,439.386
195,28.038,439.346
196,28.038,439.306
197,28.038,439.267
198,28.038,439.227
199,28.038,439.187
200,28.038,439.147
201,28.038,439.108
202,28.038,439.068
203,28.038,439.028
